season,date,away.team,away.score,home.team,home.score,line,over_under
2015,2015-11-13,COLO,62,ISU,68,-10,151
2015,2015-11-13,SDAK,69,WRST,77,-6.5,136
2015,2015-11-13,WAG,57,SJU,66,-5.5,142
2015,2015-11-13,JVST,83,CMU,89,-18,142.5
2015,2015-11-13,NIAG,50,ODU,67,-18,132
2015,2015-11-13,ALBY,65,UK,78,-20,132.5
2015,2015-11-13,TEM,67,UNC,91,-9.5,145
2015,2015-11-13,NKU,61,WVU,107,-23.5,147.5
2015,2015-11-13,SIE,74,DUKE,92,-24,155
2015,2015-11-13,WCU,72,CIN,97,-20,132
2015,2015-11-13,MSM,56,MD,80,-21.5,140
2015,2015-11-13,CHAT,92,UGA,90,-10.5,136
2015,2015-11-13,SEMO,53,DAY,84,-19,140
2015,2015-11-13,DART,67,HALL,84,-11,136
2015,2015-11-13,CAN,85,HOF,96,-10.5,150.5
2015,2015-11-13,JMU,87,RICH,75,-9,137.5
2015,2015-11-13,EIU,49,IND,88,-25,150
2015,2015-11-13,FAU,55,MSU,82,-23.5,141
2015,2015-11-13,SAM,45,LOU,86,-23,142
2015,2015-11-13,MIOH,72,XAV,81,-15.5,144.5
2015,2015-11-13,PRIN,64,RID,56,1,137
2015,2015-11-13,IUPU,72,INST,70,-8,135.5
2015,2015-11-13,SAC,66,ASU,63,-18,144
2015,2015-11-13,AFA,75,SIU,77,-5.5,131
2015,2015-11-13,UNCO,72,KU,109,-29,147.5
2015,2015-11-13,BALL,53,BRAD,54,3,135
2015,2015-11-13,USD,45,USC,83,-12.5,140
2015,2015-11-13,UTM,57,OKST,91,-12,141.5
2015,2015-11-13,COR,81,GT,116,-17,130
2015,2015-11-13,MOST,65,ORU,80,-4.5,133.5
2015,2015-11-13,DREX,81,JOES,82,-9.5,127.5
2015,2015-11-13,WMRY,85,NCST,68,-12.5,149
2015,2015-11-13,SF,78,UIC,75,1.5,148.5
2015,2015-11-13,PEAY,41,VAN,80,-24.5,144
2015,2015-11-13,CSN,71,NIU,83,-9.5,134.5
2015,2015-11-13,UCSB,60,OMA,59,-2.5,157.5
2015,2015-11-13,UTSA,64,LOYI,76,-14,138.5
2015,2015-11-13,BRWN,65,SPU,77,-2,130.5
2015,2015-11-13,NAU,70,WSU,82,-10.5,145