datetime,open,high,low,close,volume,bar_number,end_of_day
2017-03-31 08:30:00,877.00,877.06,876.66,877.06,43910,0,False
2017-03-31 08:40:00,877.00,881.74,876.65,880.66,192152,1,False
2017-03-31 08:50:00,881.00,886.01,880.45,884.67,249892,2,False
2017-03-31 09:00:00,884.83,886.08,883.50,883.90,148034,3,False
2017-03-31 09:10:00,883.90,886.44,883.84,885.72,118518,4,False
2017-03-31 09:20:00,885.82,886.39,884.68,886.30,76880,5,False
2017-03-31 09:30:00,886.14,886.74,885.07,885.73,74180,6,False
2017-03-31 09:40:00,885.80,886.20,885.13,886.20,77154,7,False
2017-03-31 09:50:00,886.21,887.61,885.77,887.51,86971,8,False
2017-03-31 10:00:00,887.59,888.35,886.83,887.81,111998,9,False
2017-03-31 10:10:00,887.80,888.72,887.59,888.60,64497,10,False
2017-03-31 10:20:00,888.62,890.35,888.44,889.82,101562,11,False
2017-03-31 10:30:00,889.81,889.96,888.83,889.83,42580,12,False
2017-03-31 10:40:00,889.70,889.92,887.32,887.61,88559,13,False
2017-03-31 10:50:00,887.68,889.58,887.66,889.01,45492,14,False
2017-03-31 11:00:00,889.12,889.26,887.25,888.34,39841,15,False
2017-03-31 11:10:00,888.52,889.00,887.66,887.66,24525,16,False
2017-03-31 11:20:00,887.83,888.74,887.67,888.14,35031,17,False
2017-03-31 11:30:00,888.14,888.87,888.10,888.87,24460,18,False
2017-03-31 11:40:00,888.91,889.47,888.76,888.96,38921,19,False
2017-03-31 11:50:00,888.87,889.06,888.47,888.89,35439,20,False
2017-03-31 12:00:00,888.86,889.50,888.82,889.40,25933,21,False
2017-03-31 12:10:00,889.40,889.94,889.35,889.86,35120,22,False
2017-03-31 12:20:00,889.90,890.25,889.51,889.57,38429,23,False
2017-03-31 12:30:00,889.70,889.79,889.20,889.79,18435,24,False
2017-03-31 12:40:00,889.80,889.93,889.28,889.50,25481,25,False
2017-03-31 12:50:00,889.60,889.99,889.50,889.77,26536,26,False
2017-03-31 13:00:00,889.70,889.73,888.33,888.49,35556,27,False
2017-03-31 13:10:00,888.31,888.64,887.80,888.45,39215,28,False
2017-03-31 13:20:00,888.58,888.58,887.09,887.15,43771,29,False
2017-03-31 13:30:00,887.18,888.40,887.05,888.13,36830,30,False
2017-03-31 13:40:00,888.22,888.99,887.68,888.78,29510,31,False
2017-03-31 13:50:00,888.79,888.99,888.35,888.58,30370,32,False
2017-03-31 14:00:00,888.66,888.82,887.02,887.02,48011,33,False
2017-03-31 14:10:00,887.02,888.30,886.80,888.15,41046,34,False
2017-03-31 14:20:00,888.14,889.00,888.06,888.55,38660,35,False
2017-03-31 14:30:00,888.58,888.83,888.30,888.40,39304,36,False
2017-03-31 14:40:00,888.40,888.60,888.01,888.45,57289,37,False
2017-03-31 14:50:00,888.39,889.32,888.16,888.17,105594,38,False
2017-03-31 15:00:00,888.43,888.54,886.54,886.94,518134,39,True